大事	だいじ, おおごと	important; valuable; serious matter
語末	ごまつ	end of a word; suffix
通常	つうじょう	common; ordinary
系	けい	system; lineage; group; corollary; (taxonomical) series
実用	じつよう	practical use; utility
恋愛	れんあい	love; passion; emotion
簡易	かんい	simplicity; convenience; easiness; quasi-
卵黄	らんおう	egg yolk
半母音	はんぼいん	semivowel
談話	だんわ	a talk; conversation
摩擦音	まさつおん	fricative sound
国産	こくさん	domestically produced
紳士	しんし	gentleman
焼く	やく	to grill; to bake; to burn; to be envious
集める	あつめる	to collect; to gather
消える	きえる	to vanish; to disappear
消す	けす	to turn off; erase; delete; put out
沸く	わく	boil; be excited
回す	まわす	to turn; to rotate; to circulate
回る	まわる	to turn; to revolve
曲げる	まげる	to bend; to curve; to lean
敵	てき	enemy; foe
現れる	あらわれる	to appear; to come in sight; to become visible; to come out; to materialize; to be expressed (e.g. emotions); to become apparent (e.g. trends, effects); to emerge
表れる	あらわれる	to appear
姿を現す	すがたをあらわす	to make an appearance; to show up
起こす	おこす	to cause; to wake someone
起きる	おきる	get up; get out of bed; occur (event)
折る	おる	break off; fold; bend
折れる	おれる	snap; be folded; give in
並べる	ならべる	line up; display; set up
並ぶ	ならぶ	line up; be parallel
無くす	なくす	lose; get rid of
無くなる	なくなる	to disappear; to run short; to get lost
計画を立てる	けいかくをたてる	make a plan
割る	わる	to divide; to cut; to break; to halve; to separate; to split
割れる	われる	crack; be divided; split
涙腺	るいせん	lachrymal or tear gland
緩い	ゆるい	loose; lenient; slow
安心	あんしん	peace of mind; relief
詳細情報	しょうさいじょうほう	detailed information
平方	へいほう	square (e.g. meters)
煙	けむり	smoke; fumes
脱線	だっせん	derailment
両	りょう	both (prefix)
倒れる	たおれる	to collapse; to fall
線路	せんろ	line; track
逮捕する	たいほする	arrest
原因	げんいん	cause; origin
同期	どうき	synchronous; same period; employees who joined the same year
道具	どうぐ	tool
跳ねる	はねる	leap; hop; bound
撥ねる	はねる	run over; hit
平均	へいきん	average; equilibrium
国連	こくれん	United Nations
気象	きしょう	weather; climate
お祝い	おいわい	celebrate; congratulatory gift
大臣	だいじん	minister
総理大臣	そうりだいじん	prime minister
太平洋	たいへいよう	Pacific Ocean
成長	せいちょう	growth; grow to adulthood
核兵器	かくへいき	nuclear weapons
実験	じっけん	experiment
資料館	しりょうかん	museum; reference library; archive; record office
世界大戦	せかいたいせん	the World War
第二次世界大戦	だいにじせかいたいせん	World War II
原爆	げんばく	atomic bomb
地球	ちきゅう	the Earth
満月	まんげつ	full moon
気象庁	きしょうちょう	Meteorological Agency
東北地方	とうほくちほう	Tohoku (region)
沖縄県	おきなわけん	Okinawa prefecture (including Okinawa island)
国立	こくりつ	national
天文台	てんもんだい	astronomical observatory
首相	しゅしょう	prime minister
様子	ようす	appearance; aspect; state; condition
崩れる	くずれる	crumble; collapse
洋式	ようしき	Western style
和式	わしき	Japanese style
環境省	かんきょうしょう	Ministry of the Environment
文部科学省	もんぶかがくしょう	Ministry of Education, Culture, Sports, Science and Technology; MEXT
年寄り	としより	old person; older councilor
差別	さべつ	discrimination
珊瑚	さんご	coral
礁	ショウ	reef; sunken rock
温度	おんど	temperature
石垣	いしがき	stone wall
車いす	くるまいす	wheelchair; folding push-chair
障害	しょうがい	obstacle; disorder
機械	きかい	machine
光線	こうせん	beam; light ray
戦う	たたかう	wage war; fight
社会	しゃかい	society
大震災	だいしんさい	great earthquake (disaster)
東日本大震災	ひがしにほんだいしんさい	Tohoku earthquake
香り	かおり	perfume; fragrance
差	さ	difference
福岡	ふくおか	Fukuoka (city)
穴	あな	hole; cavity
水道	すいどう	water service; channel
管	くだ	pipe; tube
情報学	じょうほうがく	informatics
研究所	けんきゅうじょ	research establishment (institute, laboratory, etc.)
入学試験	にゅうがくしけん	(college) entrance exam
目標	もくひょう	target; goal; mark; objective
手続き	てつづき	procedure; formalities
麻薬	まやく	narcotic drugs
犯罪	はんざい	offense; crime
書き込む	かきこむ	to fill in (field, entry, etc.); to fill out (form); to store
卒論	そつろん	graduation thesis; bachelor's degree thesis
制作	せいさく	work (film, book)
母語話者	ぼごわしゃ	native speaker
回答	かいとう	reply; answer
拡散	かくさん	scattering; diffusion; spread (e.g. signal across the spectrum)
関東地方	かんとうちほう	Kanto region (inc. Tokyo, Kanagawa, Saitama, Gunma, Tochigi, Ibaraki and Chiba prefectures)
都	と	large city
県	けん	prefecture (of Japan); county (of China)
流行	りゅうこう	fashion; trend
横綱	よこづな	sumo grand champion
相撲	すもう	sumo wrestling
大相撲	おおずもう	professional sumo match
千代	せんだい, ちよ	thousand years; very long period; forever
駆ける	かける	gallop; run quickly
駆け付ける	かけつける	to run to; to come running; to rush (someplace); to hasten
警護	けいご	bodyguard; escort
戦争	せんそう	war; battle
自衛隊	じえいたい	Self Defense Forces
武器	ぶき	weapon; arms
襲う	おそう	to raid; to attack; to assail; to make an assault; to strike
検察庁	けんさつちょう	Public Prosecutor's Office
起訴	きそ	prosecution; indictment
秘書官	ひしょかん	minister's secretary
罪	つみ	crime; sin
財団	ざいだん	foundation
協力	きょうりょく	cooperation; collaboration
硬貨	こうか	coinage
行事	ぎょうじ	event; function
坊さん	ぼうさん	Buddhist priest
祈り	いのり	prayer
板	いた	board; plank
流行語	りゅうこうご	buzzword; vogue word; popular phrase
新語	しんご	new word; neologism; word of recent origin; recent word; modern term
大賞	たいしょう	big prize; first prize
賞	しょう	prize; award
解散	かいさん	breakup; dissolution
警備	けいび	defense; security
端末	たんまつ	computer terminal; device (smartphone, tablet, etc.)
食料品	しょくりょうひん	foodstuff; groceries
賞金	しょうきん	prize; monetary award
直径	ちょっけい	diameter
量	りょう	quantity; volume
侍	さむらい	samurai; warrior
甲	かぶと	helmet (of armor, armour); headpiece
塊	かたまり	lump; ingot
辻斬り	つじぎり	killing a passerby in order to test a new sword
決定	けってい	decision; settlement
題	だい	title; topic
未発表	みはっぴょう	unpublished; not yet announced
満載	まんさい	fully loaded; full load; loaded condition
収録	しゅうろく	compilation; editing; recording
詳細	しょうさい	details; particulars
追って	おって	later on; shortly; presently; afterwards; in due course; by and by; P.S.
盛り	さかり	peak (of season); prime (of life)
後程	のちほど	later; afterward
沖	おき	open sea; offshore
弱	じゃく	weakness; the weak; little less than
市	し	city
揺れる	ゆれる	to shake; to sway
中国地方	ちゅうごくちほう	Chugoku region of western Honshu (inc. Okayama, Hiroshima, Shimane, Tottori and Yamaguchi prefectures)
警報	けいほう	alarm; warning
津波警報	つなみけいほう	tsunami warning
鉄道	てつどう	railway
経営	けいえい	management; administration; operation; running (business); conducting
区間	くかん	section (of track, etc.); segment; dimension
仏像	ぶつぞう	Buddha statue
液体	えきたい	liquid; fluid
事件	じけん	event; affair; case; incident
宝	たから	treasure
神宮	じんぐう	Shinto shrine
厚生労働省	こうせいろうどうしょう	Ministry of Health, Labor and Welfare
文化庁	ぶんかちょう	the Agency for Cultural Affairs
市町村	しちょうそん	cities, towns and villages; municipalities
栃木県	とちぎけん	Tochigi prefecture (Kantou area)
茨城県	いばらきけん	Ibaraki prefecture (Kantou area)
福島県	ふくしまけん	Fukushima prefecture (Touhoku area)
宮城県	みやぎけん	Miyagi prefecture (Touhoku area)
青森県	あおもりけん	Aomori prefecture (Touhoku area)
千葉県	ちばけん	Chiba prefecture
岩手県	いわてけん	Iwate prefecture (Touhoku area)
奈良県	ならけん	Nara prefecture (Kinki area)
展開	てんかい	unfolding; development
応援	おうえん	support; cheering
寄付	きふ	donation; contribution
運動場	うんどうじょう	playground; sports field
大リーグ	だいリーグ	the major leagues (baseball)
礼	れい	thanking; expression of gratitude
台湾	たいわん	Taiwan
航空	こうくう	aviation
成田空港	なりたくうこう	Narita Airport
関西	かんさい	Kansai (region)
旭	あさひ	morning sun
料金	りょうきん	charge; fee
航空会社	こうくうがいしゃ	airline company
凍る	こおる	freeze; congeal
手帳	てちょう	pocketbook; memo
母子手帳	ぼしてちょう	maternal and child health handbook
国際会議	こくさいかいぎ	international conference
妊娠	にんしん	pregnancy; conception
団体	だんたい	group; corporation
国際的	こくさいてき	international
移動	いどう	movement; transfer; migration; removal; travel<br/>mobile; moving; traveling; travelling; roving
放送局	ほうそうきょく	broadcasting office
動かす	うごかす	to move; to shift; to move (e.g. feeling); to operate; to set in motion
乳房	ちぶさ, にゅうぼう	breast; nipple; udder
治療	ちりょう	medical treatment
勇気	ゆうき	courage; nerve
豊か	ゆたか	abundant; ample
愛す	あいす	to love
支配	しはい	control; management
感染症	かんせんしょう	infectious disease; infection
漁港	ぎょこう	fishing harbour; fishing harbor
漁業	ぎょぎょう	fishing industry
組合	くみあい	union; guild
協同組合	きょうどうくみあい	cooperative; partnership
教授	きょうじゅ	professor
計算	けいさん	calculation
予想	よそう	expectation; anticipation; prediction
癌	ガン	cancer
